email,"name, last","name, first",grade level,adviser,improved,regressed
gnicolson@fakeemail.com,Nicolson,Gary,1,Jim Roydon,1,0
tradcliff@fakeemail.com,Radcliff,Tod,1,Jim Roydon,2,1
rsung@fakeemail.com,Sung,Randy,1,Jim Roydon,3,2
dlyon@fakeemail.com,Lyon,Dax,1,Jim Roydon,2,1
asowards@fakeemail.com,Sowards,Alaina,1,Jim Roydon,0,0
jmorris@fakeemail.com,Morris,Jonnie,2,Jim Roydon,2,0
afern@fakeemail.com,Fern,Austin,2,Jim Roydon,1,1
pmyles@fakeemail.com,Myles,Paulene,2,Jim Roydon,2,1
vnelson@fakeemail.com,Nelson,Velvet,2,Jim Roydon,1,0
mjanson@fakeemail.com,Janson,Malandra,2,Jim Roydon,3,0
lslater@fakeemail.com,Slater,Linnaea,3,Jim Roydon,2,1
cmun@fakeemail.com,Mun,Cherise,3,Jim Roydon,1,0
syang@fakeemail.com,Yang,Salome,3,Jim Roydon,2,1
mvernon@fakeemail.com,Vernon,Melissa,3,Jim Roydon,2,0
rhoneycutt@fakeemail.com,Honeycutt,Rita,3,Jim Roydon,2,1
jpearce@fakeemail.com,Pearce,Jefferey,4,Jim Roydon,3,0
ncrawford@fakeemail.com,Crawford,Neal,4,Jim Roydon,1,1
jsamuels@fakeemail.com,Samuels,Jayson,4,Jim Roydon,2,1
icheung@fakeemail.com,Cheung,Isabel,4,Jim Roydon,2,0
gbaker@fakeemail.com,Baker,Grayson,4,Jim Roydon,1,1
garaujo@fakeemail.com,Araujo,Gordon,1,Ronald Marley,0,0
csinclair@fakeemail.com,Sinclair,Clair,1,Ronald Marley,0,2
wpeak@fakeemail.com,Peak,Wenda,1,Ronald Marley,2,2
jibarra@fakeemail.com,Ibarra,Jason,1,Ronald Marley,1,2
mwolfe@fakeemail.com,Wolfe,Marianne,1,Ronald Marley,0,0
tfox@fakeemail.com,Fox,Terry,2,Ronald Marley,1,1
ewilson@fakeemail.com,Wilson,Elise,2,Ronald Marley,1,0
twaters@fakeemail.com,Waters,Tayler,2,Ronald Marley,2,1
hkorrine@fakeemail.com,Korrine,Hope,2,Ronald Marley,3,2
mreed@fakeemail.com,Reed,Manuel,2,Ronald Marley,2,1
tradcliff2@fakeemail.com,Radcliff,Todd,3,Ronald Marley,2,1
mwilliam@fakeemail.com,William,Miranda,3,Ronald Marley,3,0
jness@fakeemail.com,Ness,Jennifer,3,Ronald Marley,3,1
cwalter@fakeemail.com,Walter,Cass,3,Ronald Marley,1,0
egreen@fakeemail.com,Green,Eve,3,Ronald Marley,1,2
jrowe@fakeemail.com,Rowe,Jamie,4,Ronald Marley,2,2
ewinton@fakeemail.com,Winton,Elizabeth,4,Ronald Marley,2,1
fruan@fakeemail.com,Ruan,Felipa,4,Ronald Marley,3,2
troberts@fakeemail.com,Roberts,Tim,4,Ronald Marley,0,0
agabriels@fakeemail.com,Gabriels,Anise,4,Ronald Marley,1,1
